หมวด (Category),ช่วงรายละเอียด (Resolution range),กลุ่ม/แบนด์ (Group/Band),ดาวเทียม/โหมด (Satellite/Mode),รายละเอียดภาพ (Resolution),Polarization,ประเภทราคา 1 (Price type 1),ราคา 1 (Price 1),ประเภทราคา 2 (Price type 2),ราคา 2 (Price 2),หน่วย (Unit),หมายเหตุ (Note)
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),TerraSAR-X / COSMO-SkyMed,COSMO-SkyMed (X band),ScanSAR Huge,14 x 38 – 100 x 100 m.,"HH, HV, VH, VV",New Acquisition,"78,000",,,บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),GaoFen-3 (C band),GaoFen-3 (C band),Spotlight (SL),1 m.,"HH, VV",ข้อมูลในคลัง (Standard Archive),"116,400",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"180,500",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),GaoFen-3 (C band),GaoFen-3 (C band),Ultra-fine Stripmap (UFS),3 m.,"HH, VV",ข้อมูลในคลัง (Standard Archive),"68,900",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"118,800",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),GaoFen-3 (C band),GaoFen-3 (C band),Fine Stripmap (FSI),5 m.,"HH, VV",ข้อมูลในคลัง (Standard Archive),"64,200",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"95,000",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),GaoFen-3 (C band),GaoFen-3 (C band),Wide Fine Stripmap (FSII),10 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),"64,200",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"90,300",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),GaoFen-3 (C band),GaoFen-3 (C band),Standard Stripmap (SS),25 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),"54,700",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"85,500",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),GaoFen-3 (C band),GaoFen-3 (C band),Narrow ScanSAR (NSC),50 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),"32,100",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"42,800",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),GaoFen-3 (C band),GaoFen-3 (C band),Wide ScanSAR (WSC),100 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),"32,100",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"45,800",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),GaoFen-3 (C band),GaoFen-3 (C band),Quad-pol Stripmap (QPSI),8 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),"71,300",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"137,800",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),GaoFen-3 (C band),GaoFen-3 (C band),Wide Quad-pol Stripmap (QPSII),25 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),"71,300",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"137,800",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),GaoFen-3 (C band),GaoFen-3 (C band),Wave (WAV),10 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),"10,700",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"14,300",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),GaoFen-3 (C band),GaoFen-3 (C band),Global Observation (GLO),500 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),"10,700",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"14,300",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),GaoFen-3 (C band),GaoFen-3 (C band),Extended Incidence Angle (EXT),25 m.,"HH, HV / VV, VH",ข้อมูลในคลัง (Standard Archive),"42,800",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"57,000",บาท/ภาพ,
